aalib 1.4rc5-17
accountsservice 23.13.9-1
acl 2.3.1-3
libnvme 1.6-2
libogg 1.3.5-1
libomxil-bellagio 0.9.3-4
libopenmpt 0.7.3-1
libotr 4.1.1-4
libp11-kit 0.25.3-1
libpcap 1.10.4-1
libpciaccess 0.17-1
libpgm 5.3.128-3
libpipeline 1.5.7-1
libpipewire 1:1.0.0-2
libplacebo 5.264.1-4
libplist 2.3.0-2
libpng 1.6.40-2
libproxy 0.5.3-2
libpsl 0.21.2-1
libpulse 16.1-7
libqmi 1.34.0-1
libqrtr-glib 1.2.2-2
libraqm 0.10.1-1
libraw1394 2.1.2-3
librsvg 2:2.57.1-1
libsamplerate 0.2.2-2
libsasl 2.1.28-4
libseccomp 2.5.4-2
libsecret 0.21.2-1
libshout 1:2.4.6-2
libsigc++ 2.12.1-1
libsm 1.2.4-1
libsndfile 1.2.2-2
libsodium 1.0.19-2
libsonic 0.2.0-1
libsoup 2.74.3-1
libsoup3 3.4.4-1
libsoxr 0.1.3-3
libspeechd 0.11.5-1
libsrtp 1:2.5.0-1
libssh 0.10.6-1
libssh2 1.11.0-1
libstemmer 2.2.0-2
libsysprof-capture 45.1-1
libtasn1 4.19.0-1
libteam 1.32-1
libthai 0.1.29-3
libtheora 1.1.1-6
libtiff 4.6.0-2
libtirpc 1.3.4-1
libtool 2.4.7+4+g1ec8fa28-6
libunibreak 5.1-1
libunistring 1.1-2
libunwind 1.7.2-1
liburcu 0.14.0-1
liburing 2.5-1
libusb 1.0.26-2
libusb-compat 0.1.8-1
libusbmuxd 2.0.2-3
libutempter 1.2.1-4
libuv 1.47.0-1
libva 2.20.0-1
libvdpau 1.5-2
libverto 0.3.2-4
libvorbis 1.3.7-3
libvpx 1.13.1-1
libwacom 2.9.0-2
libwbclient 4.19.3-2
libwebp 1.3.2-1
libwnck3 43.0-3
libx11 1.8.7-1
libxau 1.0.11-2
libxaw 1.0.15-1
libxcb 1.16-1
libxcomposite 0.4.6-1
libxcrypt 4.4.36-1
libxcursor 1.2.1-3
libxcvt 0.1.2-1
libxdamage 1.1.6-1
libxdmcp 1.1.4-2
libxext 1.3.5-1
libxfce4ui 4.18.4-1
libxfce4util 4.18.1-1
libxfixes 6.0.1-1
libxfont2 2.0.6-2
libxft 2.3.8-1
libxi 1.8.1-1
libxinerama 1.1.5-1
libxkbcommon 1.6.0-1
libxkbcommon-x11 1.6.0-1
libxkbfile 1.1.2-1
libxklavier 5.4-5
libxml2 2.12.3-1
libxmlb 0.3.14-1
libxmu 1.1.4-1
libxpm 3.5.17-1
libxpresent 1.0.1-1
libxrandr 1.5.4-1
libxrender 0.9.11-1
libxres 1.2.2-1
libxshmfence 1.3.2-1
libxslt 1.1.39-1
libxss 1.2.4-1
libxt 1.3.0-1
libxtst 1.2.4-1
libxv 1.0.12-1
libxxf86vm 1.1.5-1
libyaml 0.2.5-2
licenses 20231215-1
lilv 0.24.22-1
linux 6.6.7.arch1-1
linux-api-headers 6.4-1
linux-atm 2.5.2-8
linux-firmware 20231211.f2e52a1c-1
linux-firmware-marvell 20231211.f2e52a1c-1
linux-firmware-whence 20231211.f2e52a1c-1
linux-headers 6.6.7.arch1-1
livecd-sounds 1.0-2
llvm-libs 16.0.6-1
lm_sensors 1:3.6.0.r41.g31d1f125-2
lmdb 0.9.31-1
lrzip 0.651-2
lsb-release 2.0.r53.a86f885-1
lsscsi 0.32-1
lua 5.4.6-3
luit 20230201-1
lv2 1.18.10-1
lvm2 2.03.22-2
lynx 2.8.9-7
lz4 1:1.9.4-1
lzo 2.10-5
lzop 1.04-3
m4 1.4.19-3
mailcap 2.1.54-1
make 4.4.1-2
man-db 2.12.0-1
man-pages 6.05.01-2
mc 4.8.30-1
md4c 0.4.8-1
mdadm 4.2-2
memtest86+ 6.20-1
memtest86+-efi 6.20-1
mesa 1:23.3.1-1
minizip 1:1.3-2
mjpegtools 2.2.1-2
mkinitcpio 37.1-2
mkinitcpio-busybox 1.36.1-1
mkinitcpio-nfs-utils 0.3-8
mkinitcpio-openswap 0.1.0-3
mobile-broadband-provider-info 20230416-1
modemmanager 1.22.0-1
mousepad 0.6.1-3
mpfr 4.2.1-1
mpg123 1.32.3-1
mtdev 1.1.6-2
mtools 1:4.0.43-1
nano 7.2-1
nbd 3.25-1
ncurses 6.4_20230520-1
ndisc6 1.0.7-1
neofetch 7.1.0-2
neon 0.32.5-2
nettle 3.9.1-1
network-manager-applet 1.34.0-1
networkmanager 1.44.2-3
nfs-utils 2.6.4-1
nfsidmap 2.6.4-1
nftables 1:1.0.9-1
nilfs-utils 2.2.9-2
nm-connection-editor 1.34.0-1
nmap 7.94-2
noto-fonts 1:23.12.1-1
npth 1.6-4
nspr 4.35-2
nss 3.95-1
ntfs-3g 2022.10.3-1
numactl 2.0.16-1
nvme-cli 2.6-1
oath-toolkit 2.6.9-1
ocl-icd 2.3.2-1
oh-my-zsh-git r7068.48ccc7b36-1
onevpl 2023.4.0-1
open-iscsi 2.1.9-2
open-isns 0.102-3
open-vm-tools 6:12.3.5-1
openal 1.23.1-1
openconnect 1:9.12-1
opencore-amr 0.1.6-1
openexr 3.2.1-1
openjpeg2 2.5.0-3
openmpi 4.1.5-5
openpmix 4.2.6-1
openssh 9.6p1-1
openssl 3.2.0-1
openvpn 2.6.8-1
opus 1.4-1
orc 0.4.34-1
os-prober 1.81-1
p11-kit 0.25.3-1
pacman 6.0.2-8
pacman-mirrorlist 20231001-1
pahole 1:1.25-4
pam 1.5.3-3
pambase 20230918-1
pango 1:1.51.1-1
parole 4.18.1-1
partclone 0.3.27-1
parted 3.6-1
partimage 0.6.9-14
patch 2.7.6-10
pbzip2 1.1.13-3
pcaudiolib 1.2-2
pciutils 3.10.0-1
pcre 8.45-4
pcre2 10.42-2
pcsclite 2.0.1-1
perl 5.38.1-1
perl-error 0.17029-5
perl-mailtools 2.21-7
perl-timedate 2.33-5
pigz 2.8-1
pinentry 1.2.1-3
pixman 0.42.2-1
pixz 1.0.7-4
pkcs11-helper 1.30.0-1
pkgconf 2.1.0-2
polkit 123-1
polkit-gnome 0.105-10
popt 1.19-1
portaudio 1:19.7.0-2
ppp 2.5.0-1
pptpclient 1.10.0-3
procps-ng 4.0.4-2
psmisc 23.6-1
pv 1.8.5-1
python 3.11.6-1
python-attrs 23.1.0-1
python-babel 2.12.1-1
python-cairo 1.25.1-1
python-cffi 1.16.0-1
python-charset-normalizer 3.3.2-1
python-configobj 5.0.8-4
python-cryptography 41.0.7-1
python-distro 1.8.0-3
python-docutils 1:0.20.1-1
python-gobject 3.46.0-1
python-idna 3.5-1
python-imagesize 1.4.1-4
python-jinja 1:3.1.2-4
python-jsonpatch 1.33-1
python-jsonpointer 2.4-1
python-jsonschema 4.20.0-1
python-jsonschema-specifications 2023.11.2-1
python-markupsafe 2.1.3-1
python-netifaces 0.11.0-4
python-numpy 1.26.2-1
python-oauthlib 3.2.2-2
python-packaging 23.2-1
python-ply 3.11-12
python-psutil 5.9.6-1
python-pycparser 2.21-5
python-pygments 2.17.2-1
python-pyparted 3.13.0-1
python-pyrsistent 0.19.3-3
python-pyserial 3.5-5
python-pytz 2023.3.post1-1
python-referencing 0.31.1-1
python-requests 2.31.0-1
python-rpds-py 0.10.6-1
python-simple-term-menu 1.6.4-1
python-six 1.16.0-8
python-snowballstemmer 2.2.0-5
python-sphinx 7.2.6-1
python-sphinx-alabaster-theme 0.7.13-4
python-sphinx_rtd_theme 1.3.0-1
python-sphinxcontrib-applehelp 1.0.7-1
python-sphinxcontrib-devhelp 1.0.5-1
python-sphinxcontrib-htmlhelp 2.0.4-1
python-sphinxcontrib-jquery 4.1-2
python-sphinxcontrib-jsmath 1.0.1-15
python-sphinxcontrib-qthelp 1.0.6-1
python-sphinxcontrib-serializinghtml 1.1.9-1
python-typing_extensions 4.9.0-1
python-urllib3 1.26.18-1
python-yaml 6.0.1-2
qemu-guest-agent 8.1.3-1
qrencode 4.1.1-2
qt5-3d 5.15.11-1
qt5-base 5.15.11+kde+r148-1
qt5-charts 5.15.11-1
qt5-connectivity 5.15.11+kde+r6-1
qt5-datavis3d 5.15.11-1
qt5-declarative 5.15.11+kde+r32-1
qt5-doc 5.15.11-2
qt5-examples 5.15.11-2
qt5-gamepad 5.15.11-1
qt5-graphicaleffects 5.15.11-1
qt5-imageformats 5.15.11+kde+r12-1
qt5-location 5.15.11+kde+r5-2
qt5-lottie 5.15.11-1
qt5-multimedia 5.15.11+kde+r2-1
qt5-networkauth 5.15.11-1
qt5-purchasing 5.15.11-1
qt5-quick3d 5.15.11+kde+r1-1
qt5-quickcontrols 5.15.11-1
qt5-quickcontrols2 5.15.11+kde+r5-1
qt5-quicktimeline 5.15.11-1
qt5-remoteobjects 5.15.11-1
qt5-script 5.15.15-2
qt5-scxml 5.15.11-1
qt5-sensors 5.15.11-1
qt5-serialbus 5.15.11-1
qt5-serialport 5.15.11-1
qt5-speech 5.15.11+kde+r1-1
qt5-svg 5.15.11+kde+r6-1
qt5-tools 5.15.11+kde+r4-1
qt5-translations 5.15.11-1
qt5-virtualkeyboard 5.15.11-1
qt5-wayland 5.15.11+kde+r60-1
qt5-webchannel 5.15.11+kde+r3-1
qt5-webengine 5.15.15-3
qt5-webglplugin 5.15.11-1
qt5-websockets 5.15.11+kde+r2-1
qt5-webview 5.15.11-1
qt5-x11extras 5.15.11-1
qt5-xmlpatterns 5.15.11-1
raptor 2.0.16-4
rav1e 0.6.6-3
readline 8.2.007-1
rebornos-keyring 20231128-1
rebornos-mirrorlist 20231120-1
refind 0.14.0.2-2
reflector 2023-1
reiserfsprogs 3.6.27-4
ristretto 0.13.1-1
rp-pppoe 4.0-1
rpcbind 1.2.6-3
rsync 3.2.7-6
rtmpdump 1:2.4.r99.f1b83c1-2
rubberband 3.3.0-1
run-parts 5.5-1
rxvt-unicode-terminfo 9.31-4
sbc 2.0-1
screen 4.9.1-1
sddm 0.20.0-5
sdl2 2.28.5-1
sdparm 1.12-1
sed 4.9-3
serd 0.32.0-1
sg3_utils 1.47-1
shaderc 2023.7-2
shadow 4.14.2-1
shared-mime-info 2.4-1
slang 2.3.3-2
smartmontools 7.4-1
snappy 1.1.10-1
sof-firmware 2023.09.2-1
sofirem-dev-git 23.12-07
sord 0.16.16-1
sound-theme-freedesktop 0.8-5
soundtouch 2.3.2-1
spandsp 0.0.6-5
speex 1.2.1-1
speexdsp 1.2.1-1
spirv-tools 2023.5-1
sqlite 3.44.2-2
squashfs-tools 4.6.1-1
sratom 0.6.16-1
srt 1.5.3-1
sshfs 3.7.3-1
startup-notification 0.12-8
stoken 0.92-4
sublime-text-4 4.4169-1
sudo 1.9.15.p4-1
svt-av1 1.7.0-1
svt-hevc 1.5.1-2
sysfsutils 2.1.1-1
syslinux 6.04.pre2.r11.gbf6db5b4-4
systemd 255.1-1
systemd-libs 255.1-1
systemd-resolvconf 255.1-1
systemd-sysvcompat 255.1-1
taglib 1.13.1-1
talloc 2.4.1-1
tar 1.35-2
tcl 8.6.13-1
tcpdump 4.99.4-1
tdb 1.4.9-1
terminus-font 4.49.1-6
testdisk 7.1-5
texinfo 7.1-2
thin-provisioning-tools 1.0.9-2
thunar-archive-plugin 0.5.2-1
thunar-extended 4.18.4-3
thunar-media-tags-plugin 0.4.0-1
thunar-volman 4.18.0-1
tmux 3.3_a-7
totem-pl-parser 3.26.6-2
tpm2-tss 4.0.1-1
tracker3 3.6.0-2
tslib 1.22-1
ttf-dejavu 2.37+18+g9b5d1b2f-4
ttf-droid 20121017-10
ttf-hack 3.003-6
ttf-hack-nerd 3.1.1-1
ttf-ms-fonts 2.0-12
ttf-nerd-fonts-symbols-common 3.1.1-1
ttf-nerd-fonts-symbols-mono 3.1.1-1
ttf-opensans 1.101-2
tumbler 4.18.2-1
twolame 0.4.0-3
tzdata 2023c-2
udftools 2.3-1
udisks2 2.10.1-2
unzip 6.0-20
upower 1.90.2-1
uriparser 0.9.7-1
usb_modeswitch 2.6.1-3
usbmuxd 1.1.1-3
usbutils 017-1
util-linux 2.39.3-1
util-linux-libs 2.39.3-1
v4l-utils 1.26.1-1
vi 1:070224-6
vid.stab 1.1.1-1
vim 9.0.2167-1
vim-runtime 9.0.2167-1
vimix-cursors 2020.02.24-5
virtualbox-guest-utils-nox 7.0.12-1
vmaf 3.0.0-1
volume_key 0.3.12-8
vpnc 1:0.5.3.r526.r213-1
vte-common 0.74.2-1
vte3 0.74.2-1
vulkan-icd-loader 1.3.274-1
wavpack 5.6.0-1
wayland 1.22.0-1
wayland-protocols 1.32-1
webrtc-audio-processing 0.3.1-4
wezterm-terminfo 20230712.072601.f4abf8fd-1
which 2.21-6
