a2ps 4.14-12
sonnet 5.95.0-1
sord 0.16.10-2
sound-theme-freedesktop 0.8-5
soundtouch 2.3.1-2
source-highlight 3.1.9-8
spandsp 0.0.6-3
spdlog 1.10.0-1
speedtest-cli 2.1.3-2
speex 1.2.0-3
speexdsp 1.2.0-2
spglib 1.16.5-1
spice 0.15.0-1
spice-gtk 0.40-1
spirv-tools 2022.1-1
splix 2.0.0-16
sqlcipher 4.5.1-1
sqlite 3.38.5-1
squashfs-tools 4.5.1-1
sratom 0.6.10-3
srt 1.4.4-1
sshfs 3.7.3-1
starship 1.7.1-1
startup-notification 0.12-7
steam 1.0.0.74-1
steam-native-runtime 1.0.0.70-3
stoken 0.92-4
stormlib 9.23-2
sublime-text-4 4.4126-1
sudo 1.9.11.p2-1
suil 0.10.12-2
suitesparse 5.12.0-1
supertux 0.6.3-2
supertuxkart 1.3-1
surfn-icons-git 22.05-02
surfn-mint-y-icons-git 22.05-02
sutils-git 35-1
svt-av1 1.1.0-1
svt-hevc 1.5.1-2
sxhkd 0.6.2-2
syndication 5.95.0-1
syntax-highlighting 5.95.0-1
sysfsutils 2.1.1-1
syslinux 6.04.pre2.r11.gbf6db5b4-3
system-config-printer 1.5.16-1
systemd 251.2-1
systemd-libs 251.2-1
systemd-sysvcompat 251.2-1
t1lib 5.1.2-8
tabbed 0.6-3
taglib 1.12-1
talloc 2.3.4-1
tar 1.34-1
tbb 2021.5.0-1
tcl 8.6.12-3
tcpdump 4.99.1-1
tdb 1.4.7-1
teams 1.5.00.10453-1
telegram-desktop 3.7.3-1
telepathy-accounts-signon 2.1-2
telepathy-farstream 0.6.2-7
telepathy-glib 0.24.2-2
telepathy-logger 0.8.2-5
telepathy-logger-qt 17.09.0-1
telepathy-mission-control 5.16.6-2
telepathy-qt 0.9.8-2
termdown 1.18.0-2
terminus-font 4.49.1-2
termite 16.4-2
termite-terminfo 15-7
testdisk 7.1-4
tevent 1:0.12.1-1
texinfo 6.8-2
thin-provisioning-tools 0.9.0-1
threadweaver 5.95.0-1
thunar 4.16.11-2
thunar-archive-plugin 0.5.0-2
thunar-volman 4.16.0-1
tidy 5.8.0-2
tigervnc 1.12.0-3
timeshift 22.06.1-1
tint2 17.0.2-2
tinyxml2 9.0.0-1
tmux 3.3_a-2
toilet 0.3.r155.3eb9d58-1
tolua++ 1.0.93-4
tpm2-tss 3.2.0-1
tracker3 3.3.1-1
tree 2.0.2-1
trizen 1:1.66-1
tslib 1.22-1
ttf-bitstream-vera 1.10-14
ttf-dejavu 2.37+18+g9b5d1b2f-3
ttf-droid 20121017-10
ttf-fira-code 6.2-2
ttf-font-awesome 6.1.1-1
ttf-hack 3.003-3
ttf-inconsolata 1:3.000-3
ttf-iosevka-nerd 2.1.0-2
ttf-joypixels 6.6.0-2
ttf-liberation 2.1.5-1
ttf-ms-fonts 2.0-12
ttf-opensans 1.101-2
ttf-porcelain 1.0.2-1
ttf-roboto 2.138-4
ttf-ubuntu-font-family 0.83-8
tty-clock 2.3-1
twolame 0.4.0-2
tzdata 2022a-1
uchardet 0.0.7-1
udisks2 2.9.4-1
ufetch-arco-git 1:r167.21f22c2-1
ufetch-git 1:r167.21f22c2-1
uget 2.2.3-5
unace 2.5-11
unimatrix-git r66.75f7402-1
unrar 1:6.1.7-1
unzip 6.0-18
upower 0.99.19-1
urxvt-fullscreen 1-1
urxvt-perls 2.3-1
urxvt-resize-font-git 27.b593580-1
usb_modeswitch 2.6.1-3
usbmuxd 1.1.1-1
usbredir 0.12.0-1
usbutils 014-2
uthash 2.3.0-1
util-linux 2.38-1
util-linux-libs 2.38-1
v4l-utils 1.22.1-1
vala 0.56.1-1
vamp-plugin-sdk 2.10.0-1
vde2 2.3.3-1
ventoy-bin 1.0.76-1
vicious 2.5.0-1
vid.stab 1.1-3
vim 8.2.5046-2
vim-runtime 8.2.5046-2
virglrenderer 0.9.1-1
virt-install 4.0.0-1
virt-manager 4.0.0-1
virtualbox 6.1.34-4
virtualbox-host-dkms 6.1.34-4
visual-studio-code-bin 1.68.0-1
vlc 3.0.17.4-5
vmaf 2.3.1-1
volume_key 0.3.12-7
volumeicon 0.5.1-5
vpnc 1:0.5.3.r506.r204-1
vte-common 0.68.0-2
vte3 0.68.0-2
vtk 9.1.0-18
vulkan-headers 1:1.3.217-1
vulkan-icd-loader 1.3.217-1
vulkan-tools 1.3.217-1
w3m 0.5.3.git20220409_1-1
wavpack 5.4.0-1
wayland 1.20.0-2
wayland-protocols 1.25-1
webkit2gtk 2.36.3-1
webrtc-audio-processing 0.3.1-3
wget 1.21.3-1
whatsapp-nativefier 2.2206.5-1
which 2.21-5
wildmidi 0.4.4-1
wine 7.10-1
winetricks 20220411-1
wireless-regdb 2022.06.06-1
wireless_tools 30.pre9-3
wmctrl 1.07-6
wmname 0.1-5
woff2 1.0.2-3
wolfssl 5.3.0-1
wpa_supplicant 2:2.10-4
wpebackend-fdo 1.12.0-2
wttr 1.2.1-2
wvdial 1.61-8
wvstreams 4.6.1-18
wxgtk-common 3.0.5.1-3
wxgtk3 3.0.5.1-3
x264 3:0.164.r3081.19856cc-2
x265 3.5-3
xapian-core 1:1.4.19-2
xapp 2.2.8-1
xbitmaps 1.1.2-3
xcb-proto 1.15-1
xcb-util 0.4.0-4
xcb-util-cursor 0.1.3-4
xcb-util-image 0.4.0-4
xcb-util-keysyms 0.4.0-4
xcb-util-renderutil 0.3.9-4
xcb-util-wm 0.4.1-4
xcb-util-xrm 1.3-2
xclip 0.13-3
xcowsay 1.6-1
xcursor-comix 0.9.2-1
xcursor-flatbed 0.4-3
xcursor-neutral 1.13a-9
xcursor-premium 0.3-10
xcursor-simpleandsoft 0.2-9
xdg-dbus-proxy 0.1.4-1
xdg-desktop-portal 1.14.4-1
xdg-desktop-portal-gnome 42.1-1
xdg-desktop-portal-gtk 1.14.0-1
xdg-user-dirs 0.17-3
xdg-utils 1.1.3+21+g1a58bc2-1
xdo 0.5.7-2
xdotool 3.20211022.1-1
xerces-c 3.2.3-6
xerolinux-mirrorlist 0.1.2-1
xf86-input-elographics 1.4.2-3
xf86-input-evdev 2.10.6-3
xf86-input-libinput 1.2.1-1
xf86-input-vmmouse 13.1.0-6
xf86-input-void 1.4.1-6
xf86-video-amdgpu 22.0.0-1
xf86-video-ati 1:19.1.0.r9.g5eba006e-2
xf86-video-fbdev 0.5.0-3
xf86-video-intel 1:2.99.917+916+g31486f40-2
xf86-video-nouveau 1.0.17-2
xf86-video-openchrome 0.6.0.r754.g15c868a-1
xf86-video-vesa 2.5.0-2
xfce4-notifyd 0.6.3-1
xfce4-power-manager 4.16.0-3
xfce4-settings 4.16.2-2
xfce4-terminal 1.0.4-1
xfconf 4.16.0-2
xfsprogs 5.18.0-1
xkeyboard-config 2.36-2
xl2tpd 1.3.17-1
xmlsec 1.2.34-1
xmlto 0.0.28-4
xorg-bdftopcf 1.1-3
xorg-font-util 1.3.2-3
xorg-fonts-encodings 1.0.5-2
xorg-iceauth 1.0.9-1
xorg-mkfontscale 1.2.2-1
xorg-server 21.1.3-7
xorg-server-common 21.1.3-7
xorg-server-xephyr 21.1.3-7
xorg-sessreg 1.1.2-3
xorg-setxkbmap 1.3.3-1
xorg-smproxy 1.0.6-4
xorg-util-macros 1.19.3-1
xorg-x11perf 1.6.1-3
xorg-xauth 1.1.2-1
xorg-xbacklight 1.2.3-3
xorg-xcmsdb 1.0.5-4
xorg-xcursorgen 1.0.7-3
xorg-xdpyinfo 1.3.3-4
xorg-xdriinfo 1.0.6-3
xorg-xev 1.2.4-1
xorg-xgamma 1.0.6-4
xorg-xhost 1.0.8-3
xorg-xinit 1.4.1-3
xorg-xinput 1.6.3-3
xorg-xkbcomp 1.4.5-1
xorg-xkbevd 1.1.4-4
xorg-xkbutils 1.0.4-5
xorg-xkill 1.0.5-3
xorg-xlsatoms 1.1.3-3
xorg-xlsclients 1.1.4-3
xorg-xmessage 1.0.5-3
xorg-xmodmap 1.0.10-3
xorg-xpr 1.0.5-3
xorg-xprop 1.2.5-1
xorg-xrandr 1.5.1-2
xorg-xrdb 1.2.1-1
xorg-xrefresh 1.0.6-3
xorg-xset 1.2.4-3
xorg-xsetroot 1.1.2-3
xorg-xvinfo 1.1.4-3
xorg-xwd 1.0.8-1
xorg-xwininfo 1.1.5-3
xorg-xwud 1.0.5-3
xorgproto 2022.1-1
xplc 0.3.13-10
xrdp-git 1:0.9.18.r138.g55215cf2-1
xsel 1.2.0.20200527-1
xterm 372-2
xtitle-git 47-1
xvidcore 1.3.7-2
xxhash 0.8.1-2
xz 5.2.5-3
yad 12.0-1
yajl 2.1.0-5
yarn 1.22.19-1
yasm 1.3.0-5
ymuse 0.20-1
yubico-c 1.13-6
yubico-c-client 2.15-5
yubikey-personalization 1.20.0-3
zathura 0.4.9-1
zathura-pdf-mupdf 0.3.8-1
zbar 0.23.1-9
zenity 3.42.1-1
zeromq 4.3.4-2
zimg 3.0.4-1
zip 3.0-10
zita-alsa-pcmi 0.4.0-1
zita-resampler 1.8.0-1
zlib 1:1.2.12-2
zoom 5.10.7-1
zsh 5.9-1
zsh-completions 0.33.0-1
zsh-syntax-highlighting 0.7.1-1
zstd 1.5.2-5
zvbi 0.2.35-4
zxing-cpp 1.3.0-1
zziplib 0.13.72-1
