a2ps 4.14-12
firefox 101.0.1-1
firefox-adblock-plus 3.13-1
fish 3.4.1-1
flac 1.3.4-2
flameshot 11.0.0-5
flatpak 1:1.12.7-1
flex 2.6.4-3
fltk 1.3.8-1
fluidsynth 2.2.7-1
fmt 8.1.1-2
fontconfig 2:2.14.0-1
fontforge 20220308-1
foomatic-db-engine 4:20220521-1
fortune-mod 3.14.0-1
freecell-solver 6.6.0-1
freeglut 3.2.2-2
freerdp 2:2.7.0-1
freetype2 2.12.1-1
frei0r-plugins 1.8.0-2
fribidi 1.0.12-1
fsarchiver 0.8.6-1
ftgl 2.4.0-2
fuse-common 3.11.0-1
fuse2 2.9.9-4
fuse3 3.11.0-1
fzf 0.30.0-3
garcon 4.16.1-1
gavl 1.4.0-6
gawk 5.1.1-1
gc 8.2.0-3
gcab 1.4-1
gcc 12.1.0-2
gcc-libs 12.1.0-2
gconf 3.2.6+11+g07808097-10
gcr 3.41.0-2
gd 2.3.3-4
gdb 12.1-1
gdb-common 12.1-1
gdbm 1.23-1
gdk-pixbuf2 2.42.8-1
geany 1.38-2
gegl 0.4.36-3
geoclue 2.6.0-2
geocode-glib 3.26.2+r9+g6047da3-2
gettext 0.21-2
ghc-libs 9.0.2-1
ghostscript 9.56.1-1
giblib 1.2.4-9
giflib 5.2.1-2
gimp 2.10.32-1
girara 0.3.7-1
git 2.36.1-1
gjs 2:1.72.0-1
gksu 2.0.2-6
glava 1.6.3-2
glew 2.2.0-3
glew1.10 1.10.0-3
glib-networking 1:2.72.0-1
glib-perl 1.329.3-3
glib2 2.72.2-1
glib2-docs 2.72.2-1
glibc 2.35-6
glibmm 2.66.4-1
glm 0.9.9.8-1
glslang 11.10.0-1
glu 9.0.2-3
glusterfs 1:10.1-1
gmime3 3.2.7-1
gmp 6.2.1-2
gmrun 1.3w-1
gn-m85 0.1792.7d7e8dee-1
gnome-bluetooth 3.34.5-4
gnome-characters 42.0-1
gnome-desktop 1:42.2-1
gnome-desktop-4 1:42.2-1
gnome-desktop-common 1:42.2-1
gnome-icon-theme 3.12.0-6
gnome-icon-theme-symbolic 3.12.0-6
gnome-keyring 1:42.1-1
gnome-online-accounts 3.44.0-1
gnome-screenshot 41.0+r25+g45f08f0-1
gnome-terminal 3.44.1-1
gnome-themes-extra 3.28+r6+g45b1d457-1
gnu-netcat 0.7.1-8
gnugo 3.8-7
gnupg 2.2.35-2
gnutls 3.7.6-1
go 2:1.18.3-1
gobject-introspection 1.72.0-1
gobject-introspection-runtime 1.72.0-1
gocryptfs 2.2.1-3
gotop-bin 4.1.2-1
gparted 1.4.0-1
gperf 3.1-3
gperftools 2.10-1
gpgme 1.17.1-1
gphoto2 2.5.28-1
gpm 1.20.7.r38.ge82d1a6-4
gptfdisk 1.0.9-1
grantlee 5.2.0-3
graphene 1.10.8-1
graphite 1:1.3.14-2
graphviz 4.0.0-1
grep 3.7-1
groff 1.22.4-7
grub 2:2.06.r261.g2f4430cc0-1
grub-customizer 5.2.1-1
gsettings-desktop-schemas 42.0-1
gsfonts 20200910-2
gsimplecal 2.2-1
gsl 2.7.1-1
gsm 1.0.19-1
gsmartcontrol 1.1.4-1
gspell 1.10.0-2
gssdp 1.4.0.1-1
gssproxy 0.9.1-2
gst-libav 1.20.2-2
gst-plugins-bad 1.20.2-2
gst-plugins-bad-libs 1.20.2-2
gst-plugins-base 1.20.2-2
gst-plugins-base-libs 1.20.2-2
gst-plugins-good 1.20.2-2
gst-plugins-ugly 1.20.2-2
gstreamer 1.20.2-2
gtk-doc 1.33.2-1
gtk-engine-murrine 0.98.2-4
gtk-update-icon-cache 1:4.6.5-1
gtk-vnc 1.3.0-1
gtk2 2.24.33-2
gtk2-perl 1.24993-4
gtk3 1:3.24.34-1
gtk4 1:4.6.5-1
gtkglext 1.2.0-13
gtkmm 1:2.24.5-4
gtkmm3 3.24.6-1
gtksourceview3 3.24.11+28+g73e57b57-1
gtksourceview4 4.8.3-1
gtkspell3 3.0.10-2
gts 0.7.6.121130-2
gucharmap 14.0.3-1
guile 2.2.7-2
gumbo-parser 0.10.1-2
gupnp 1:1.4.3-1
gupnp-igd 1.2.0-2
gutenprint 5.3.4-1
gvfs 1.50.2-1
gzip 1.12-1
hardcode-fixer-git 1:r545.ba5d874-1
hardinfo 0.5.1.816.g877ea2b-2
harfbuzz 4.3.0-1
harfbuzz-icu 4.3.0-1
haskell-adjunctions 4.4.1-11
haskell-assoc 1.0.2-145
haskell-async 2.2.4-76
haskell-attoparsec 0.14.4-23
haskell-base-orphans 0.8.6-49
haskell-bifunctors 5.5.12-9
haskell-blaze-builder 0.4.2.2-2
haskell-blaze-html 0.9.1.2-173
haskell-blaze-markup 0.8.2.8-79
haskell-call-stack 0.4.0-83
haskell-cereal 0.5.8.2-2
haskell-comonad 5.0.8-148
haskell-conduit 1.3.4.2-63
haskell-conduit-extra 1.3.6-4
haskell-contravariant 1.5.5-3
haskell-data-default-class 0.1.2.0-24
haskell-dbus 1.2.22-67
haskell-distributive 0.6.2.1-151
haskell-free 5.1.8-14
haskell-ghc-bignum-orphans 0.1.1-1
